iter	RMSE
0	0.3429870708
1	0.331940608
2	0.3217271304
3	0.3121598227
4	0.3023981551
5	0.2932818332
6	0.2847736983
7	0.2767348069
8	0.2684552846
9	0.2612655892
10	0.2542279945
11	0.2470979057
12	0.2407093663
13	0.2343222721
14	0.2283601635
15	0.2228491985
16	0.2172122285
17	0.2116136704
18	0.206533108
19	0.2014287681
20	0.1966411281
21	0.1920331992
22	0.1878262914
23	0.1841586356
24	0.1808837713
25	0.177263097
26	0.1740747558
27	0.1709320994
28	0.1680739802
29	0.1650955267
30	0.1619978396
31	0.1595152051
32	0.1567706498
33	0.1543241185
34	0.152093682
35	0.1497458569
36	0.1474039786
37	0.1453902805
38	0.1434072524
39	0.1415515821
40	0.1397096289
41	0.1381944803
42	0.1367815664
43	0.1354828132
44	0.1340979338
45	0.1327279905
46	0.1314980151
47	0.1302036133
48	0.1288136446
49	0.1276329158
50	0.1266222577
51	0.1253721229
52	0.1244332113
53	0.1233558109
54	0.122400774
55	0.1214405911
56	0.1205027642
57	0.1195584769
58	0.1187676849
59	0.1179161069
60	0.1170603179
61	0.1160968949
62	0.1153710898
63	0.1145494163
64	0.1138221424
65	0.11293872
66	0.1123752747
67	0.1116395727
68	0.110845804
69	0.1100625568
70	0.1092856445
71	0.1086613965
72	0.108058532
73	0.1074541342
74	0.1069051645
75	0.1063814787
76	0.1057212385
77	0.1052911346
78	0.1047917281
79	0.1044645164
80	0.1040229568
81	0.1037353479
82	0.1032024657
83	0.1027529997
84	0.1023759461
85	0.1018897432
86	0.1014328959
87	0.1010394317
88	0.1006819117
89	0.1003464698
90	0.1001029488
91	0.09965163605
92	0.09935221439
93	0.09900879953
94	0.09860870996
95	0.09825699716
96	0.09791873309
97	0.0975228726
98	0.09717305425
99	0.09664247665
100	0.09634689414
101	0.09601536594
102	0.09568904212
103	0.09522525874
104	0.09488086827
105	0.09449084927
106	0.09423746595
107	0.09392064163
108	0.09368534174
109	0.09342453007
110	0.09321204291
111	0.09289076199
112	0.09260140138
113	0.09216272903
114	0.09187063747
115	0.09155370806
116	0.09128345275
117	0.091071293
118	0.0907759489
119	0.09032422512
120	0.09016020195
121	0.08988286993
122	0.08950971755
123	0.08928423188
124	0.0890923906
125	0.08890625466
126	0.08860915658
127	0.08838157827
128	0.08817470773
129	0.08799351074
130	0.08780841967
131	0.08759662794
132	0.08734927974
133	0.08701678444
134	0.08688454012
135	0.08671512526
136	0.08642867855
137	0.08630430937
138	0.08591898225
139	0.08559173202
140	0.08537455725
141	0.0851569578
142	0.08479847603
143	0.08435495568
144	0.08417165808
145	0.08392745536
146	0.08361003312
147	0.08346475799
148	0.08308852056
149	0.08282900786
150	0.08266086421
151	0.082463177
152	0.08231861071
153	0.08213082644
154	0.08191367097
155	0.08172267496
156	0.08144127664
157	0.08133570973
158	0.08112020163
159	0.0807875819
160	0.08061227319
161	0.08038638159
162	0.08020996866
163	0.08006024174
164	0.07987865141
165	0.07963681235
166	0.07938626572
167	0.07921272687
168	0.07901456297
169	0.07883943535
170	0.07866039582
171	0.07843167225
172	0.07819464512
173	0.0780311111
174	0.0778393798
175	0.07761761591
176	0.07732129354
177	0.07707963828
178	0.07697523768
179	0.07670355134
180	0.07648015061
181	0.07627880616
182	0.07609102236
183	0.07588896217
184	0.07556645923
185	0.07531512987
186	0.07506780415
187	0.07490781175
188	0.07466945614
189	0.07447469189
190	0.07428306331
191	0.07412698131
192	0.07387522607
193	0.07372044878
194	0.07354020211
195	0.0732592384
196	0.07301626232
197	0.07281300169
198	0.07256914691
199	0.07234324486
200	0.0721421767
201	0.07196097661
202	0.07172354946
203	0.07158271428
204	0.07135570701
